"ID,""Alimento"",""Energia_kcal"",""Energia_kJ"",""Agua_g"",""Proteinas_g"",""Grasa_total_g"",""CHO_totales_g"",""CHO_disponibles_g"",""Fibra_g"",""Cenizas_g"",""Calcio_mg"",""Fosforo_mg"",""Zinc_mg"",""Hierro_mg"",""B_caroteno_equivalentes_ug"",""Vitamina_A_equivalentes_ug"",""Tiamina_mg"",""Riboflavina_mg"",""Niacina_mg"",""Vitamina_C_mg"",""Acido_Folico_ug"",""Sodio_mg"",""Potasio_mg"",""ID"""
"A_59,""Quinua. hojuelas de"",376,1572,13.4,13.9,7.4,63.1,NA,NA,2.6,114,60,3.72,5.46,NA,0,0.13,0.38,1.1,NA,NA,NA,NA,""A_59"""
"A_60,""Quinua rosada (<U+FFFD>uno)"",356,1490,10.2,12.5,6.4,67.6,61.7,5.9,3.3,124,205,3.3,5.2,NA,0,0.24,0.25,1.6,0,NA,30,776,""A_60"""
"A_61,""Quinua. sémola de"",362,1516,12.6,19.5,10.7,53.8,47.9,5.9,3.4,76,NA,3.3,3.6,NA,0,0.21,0.25,1.84,0,NA,NA,NA,""A_61"""
"A_62,""Sorgo"",309,1292,12.2,8,4,72.8,66.5,6.3,3,50,370,NA,4.3,NA,0,0.25,0.23,3.85,0.9,NA,NA,NA,""A_62"""
"A_63,""Trigo. harina fortificada con hierro de"",362,1517,10.8,10.5,2,76.3,73.6,2.7,0.4,36,108,0.7,5.5,NA,0,0.5,0.4,4.8,1.8,NA,NA,NA,""A_63"""
"A_64,""Trigo. llunka de"",312,1307,16.1,9.1,1,71.8,NA,NA,2,60,250,NA,1.6,NA,0,0.33,0.26,1.95,2,NA,NA,NA,""A_64"""
"A_65,""Trigo. harina tostada de (machica)"",330,1382,9,7.9,1.2,79.9,77.2,2.7,2,67,300,0.7,0.9,NA,0,0.1,0.48,2.11,2.7,NA,NA,NA,""A_65"""
"A_66,""Trigo. mote de (sancochado)"",154,644,59,2.5,0.6,37,NA,NA,0.9,38,118,NA,2.5,NA,0,0.01,0.07,1.57,0.4,NA,26,226,""A_66"""
"A_67,""Trigo para mote pelado cocido"",63,265,82.9,1.9,0.1,14.7,NA,NA,0.4,29,45,NA,0.4,NA,NA,0,0,0.73,0,NA,26,226,""A_67"""
"A_68,""Trigo para mote pelado crudo"",325,1359,12.5,9.8,0.9,74.6,NA,NA,2.2,80,274,NA,2.5,NA,NA,0.18,0.23,4,0.9,NA,NA,NA,""A_68"""
"A_69,""Trigo. pelado"",330,1379,12.6,8.4,1.4,76.1,NA,NA,1.5,51,293,NA,4.6,NA,0,0.22,0.15,3.85,NA,NA,30,515,""A_69"""
"A_70,""Trigo resbalado cocido"",83,347,77.9,2.8,0.3,18.6,NA,NA,0.4,5,66,NA,0.5,NA,NA,0.06,0.02,0.9,0.7,NA,26,226,""A_70"""
"A_71,""Trigo resbalado crudo"",327,1370,13.5,11.4,1.8,71.8,NA,NA,1.5,17,299,NA,4.8,NA,NA,0.3,0.17,5,4.5,NA,30,515,""A_71"""
"A_72,""Trigo. sémola de"",319,1334,12.1,7.8,1.1,78.4,74.5,3.9,0.6,40,125,1.05,0.8,NA,0,0.14,0.08,1.21,0,NA,NA,NA,""A_72"""
"A_73,""Trigo"",289,1210,11.6,10.3,1.9,74.7,62.5,12.2,1.5,36,314,2.98,3.87,169,28,0.42,0.17,3.89,4.8,NA,30,515,""A_73"""
"A_74,""Barra de cereales (avena y arrocillo) con maní y pasas"",391,1637,8.8,5.8,9.4,74.9,70.9,4,1.2,NA,NA,NA,10.01,NA,NA,NA,NA,NA,NA,NA,223,188,""A_74"""
"A_75,""Barra de cereales con sabor a chocolate y chocochips"",386,1615,6.7,4.9,8.5,78.6,72.4,6.2,1.3,NA,NA,NA,12.12,NA,NA,NA,NA,NA,NA,NA,224,120,""A_75"""
"A_76,""Barra de cereales (avena. arroz) con aguaymanto"",371,1551,8.5,5.3,7.3,77.6,71,6.6,1.3,NA,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA,209,295,""A_76"""
